cluster_num,census_tracts
26,"37057061300,37159050300,37159051201,37159051303,37159052000,37059080700,37057061201,37057061202,37057061400,37057061500,37057061600,37057061701,37057061702,37057061703,37057061802,37057061803,37057061804,37057061902,37057062001,37059080100,37059080400,37059080500,37059080600,37159050201,37159050202,37159050400,37159050500,37159050700,37159050800,37159050901,37159050903,37159050904,37159051001,37159051002,37159051102,37159051202,37159051204,37159051301,37159051302,37159051902,37167930102"
27,"37031970200,37031970401,37031970601,37031970602,37031970802,37031970902,37049961302,37031970102,37031970103,37031970301,37031970302,37031970303,37031970304,37031970402,37031970403,37031970501,37031970502,37031970503,37031970504,37031970603,37031970604,37031970605,37031970101,37095990100,37095990200,37049961202,37049961301,37049961303,37031970701,37031970702,37031970703,37031970704,37031970801,37031970803,37031970804,37031970805,37031970901,37031970903,37031971001,37031971002,37031971101,37031971102,37031980100,37031990100"
28,"37043950100,37113970200,37075920100,37173980200,37039930500,37039930601,37039930602,37043950200,37039930400,37075920200,37075920300,37113970700,37039930100,37039930200,37039930300,37173960301"
29,"37057060101,37057060601,37057060700,37081013601,37081013900,37081014406,37081014407,37081014408,37081014503,37081016205,37081016408,37151031503,37151031601,37057060500,37057060602,37057060800,37057060900,37057061000,37057061100,37057061901,37067003313,37067003314,37081013602,37081013700,37081013800,37081014000,37081014200,37081014300,37081014409,37081014410,37081014411,37081014412,37081014501,37081014502,37081016201,37081016203,37081016204,37081016303,37081016304,37081016305,37081016306,37081016406,37081016407,37081016409,37081016410,37081016600,37151031303,37151031304,37151031501,37151031504,37151031505,37151031602"
30,"37089930300,37089930800,37149920104,37021002203,37021002205,37021003202,37021003205,37089930100,37089930200,37089930401,37089930402,37089930501,37089930502,37089930600,37089930701,37089930702,37089930703,37089930900,37089931000,37089931100,37089931200,37089931300,37089931400,37089931500,37089931600,37089931700,37089931802,37089931901,37089931902,37089932000,37161960300,37089931801,37149920103,37149920200,37149920301,37149920303,37149920304,37175960100,37175960200,37175960300,37175960401,37175960402"
31,"37047930500,37155960900,37155961200,37155962002,37017950200,37017950300,37017950400,37017950500,37017950600,37047930300,37047930400,37047930600,37047930700,37047930800,37047931000,37047931100,37047931200,37047930900,37017950100,37155960501,37155960502,37155960503,37155960600,37155960701,37155960702,37155960801,37155960802,37155961000,37155961100,37155961301,37155961302,37155961400,37155961500,37155961601,37155961602,37155961700,37155961801,37155961802,37155961900"
32,"37061090400,37061090801,37163970900,37163971000,37061090100,37061090200,37061090300,37061090501,37061090502,37061090701,37061090702,37061090802,37163970100,37163970200,37163970500,37163970600,37163970700,37163970800,37107011200,37191000700,37191000800,37141920300"
33,"37081010100,37081010200,37081010601,37081010702,37081011200,37081011602,37081012509,37081012608,37081012612,37081012706,37081015703,37081015705,37081016006,37081016102,37081016900,37081010300,37081010401,37081010403,37081010404,37081010500,37081010602,37081010701,37081010800,37081010900,37081011000,37081011101,37081011102,37081011300,37081011400,37081011500,37081011601,37081011904,37081011905,37081012503,37081012504,37081012505,37081012508,37081012510,37081012511,37081012601,37081012604,37081012607,37081012609,37081012610,37081012611,37081012617,37081012703,37081012704,37081012705,37081012707,37081012803,37081012804,37081012805,37081015300,37081015401,37081015402,37081015500,37081015707,37081016007,37081016008,37081016009,37081016010,37081016011,37081016101,37081016103,37081016405,37081016502,37081016503,37081016505,37081016506,37081016701,37081016702,37081016800,37081017000,37081017100,37081017200,37081980100,37151031305"
34,"37083930200,37131920401,37181960100,37181960600,37185950400,37069060100,37069060200,37083930100,37083930300,37083930400,37083930501,37083930502,37083930600,37083930700,37083930800,37083931000,37181960200,37181960500,37181960700,37181960800,37181960900,37131920300,37131920402,37185950101,37185950102,37185950103,37185950200,37185950300"
35,"37015960300,37015960400,37041930101,37091950100,37091950300,37095920100,37015960100,37015960200,37041930102,37041930200,37073970100,37073970200,37073970300,37091950200,37091950401,37091950402,37187950300,37139960503,37143920100,37143920201,37143920202,37131920100,37131920200,37187950100,37187950200"
36,"37037020103,37135010703,37135011204,37135011300,37135011601,37135011901,37063002018,37063002019,37063002020,37001021902,37037020104,37037020105,37037020106,37037020200,37037020800,37135010701,37135010704,37135010705,37135010706,37135010902,37135011000,37135011102,37135011202,37135011203,37135011205,37135011400,37135011500,37135011602,37135011700,37135011800,37135011902,37135012100,37135012201,37135012202"
37,"37009970800,37189920300,37193960600,37193960900,37009970200,37005950200,37005950300,37009970300,37009970400,37009970500,37009970700,37011930100,37027031000,37189920100,37189920200,37189920400,37189920500,37189920601,37189920602,37189920701,37189920702,37189920703,37189920800,37189920900,37189921000,37193961002,37193961100,37193960300,37193960400,37193960500,37193960700,37193960801,37193960802,37193961001"
38,"37085070901,37183052901,37183053106,37085070700,37085070801,37085070802,37085070902,37085070903,37085070904,37085071001,37085071002,37183053202,37183052904,37183053006,37183053105,37183053107,37183053108,37183053109,37183053110,37183053111,37183053201,37183053203,37183053204,37183053205,37183053206,37183053207,37183053421"
39,"37051002503,37051002504,37051003403,37051003406,37051001100,37085071202,37085071203,37051002600,37051002700,37051002800,37051002900,37051003304,37051003401,37051003402,37051003404,37051003405,37051003407,37051003408,37051003500,37051003600,37051003700,37051003800,37051980200,37163970301,37051000200,37051000701,37051000702,37051000800,37051000900,37051001000,37051001200,37051001400,37163970302,37163970400,37051002100,37051002200,37051002300,37051002401,37051002402,37051002501,37051002502,37085070100,37085070500,37085070600,37085071201,37085071204"
40,"37069060501,37183053806,37069060301,37069060302,37069060401,37069060402,37069060502,37069060600,37077970602,37181961000,37183054203,37183053803,37183053804,37183053805,37183053808,37183053900,37183054013,37183054204,37183054205,37183054206,37183054207,37183054208,37183054209,37183054210,37183054211"
